"V1","V2","V3","V4","V5","V6"
"2013-01-17","14","8","Oo","OYITE¢Ggo","D!OU3"
"2013-01-18","20","9","Oo!NaaOA","OYITE¢Ggo","D!OU3"
"2013-01-19","22","11","aOA","OYITE¢Ggo","D!OU3"
"2013-01-20","23","14","Cc!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-01-21","20","15","aOA","OYITE¢Ggo","D!OU3"
"2013-01-22","20","15","D!Oe","OYITE¢Ggo","D!OU3"
"2013-01-23","21","13","D!Oe!NaaOA","OYITE¢Ggo","D!OU3"
"2013-01-24","16","13","D!Oe","OYITE¢Ggo","D!OU3"
"2013-01-25","19","13","aOA!NaOo","OYITE¢Ggo","D!OU3"
"2013-01-26","19","11","Oo!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-01-27","18","11","D!Oe!NaOo","OYITE¢Ggo","D!OU3"
"2013-01-28","20","11","aOA","OYITE¢Ggo","D!OU3"
"2013-01-29","20","11","Cc","OYITE¢Ggo","D!OU3"
"2013-01-30","23","12","aOA!NaCc","OYITE¢Ggo","D!OU3"
"2013-01-31","25","15","aOA","OYITE¢Ggo","D!OU3"
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2011-02-01","16","10","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-02","20","13","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-03","20","15","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-04","22","14","Cc~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-05","21","15","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-06","25","14","aOA~Cc","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-07","24","14","Cc","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-08","26","17","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-09","25","15","Cc~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-10","22","15","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-11","15","10","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-12","14","11","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-13","15","11","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-14","13","10","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-15","15","10","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-16","20","15","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-17","22","15","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-18","18","15","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-19","19","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-20","16","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-21","17","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-22","19","15","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-23","22","15","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-24","21","16","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-25","22","16","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-26","26","18","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-27","28","18","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-02-28","27","18","aOA","IT3ODo!PcIo","I¢FF!Pc"
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2012-02-01","17","9","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-02","14","9","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-03","16","13","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-04","17","15","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-05","21","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-06","23","9","aOA~ODOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-07","25","9","!|oOe~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-08","14","11","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-09","14","12","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-10","17","15","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-11","22","15","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-12","19","17","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-13","24","19","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-14","24","18","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-15","26","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-16","16","15","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-17","14","10","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-18","16","11","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-19","24","18","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-20","19","15","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-21","21","19","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-22","25","18","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-23","26","15","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-24","25","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-25","23","11","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-26","20","12","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-27","17","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-28","18","16","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-02-29","19","17","D!Oe~Cc","IT3ODo!PcIo","I¢FF!Pc"
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2013-02-01","22","15","Oo","OYITE¢Ggo","D!OU3"
"2013-02-02","26","19","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-03","26","19","Cc!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-02-04","27","19","Oo!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-02-05","21","18","D!Oe!NaOo","OYITE¢Ggo","D!OU3"
"2013-02-06","22","17","aOA!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-02-07","17","15","D!Oe!NaODOe","OYITE¢Ggo","D!OU3"
"2013-02-08","17","13","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-09","19","14","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-10","22","14","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-11","23","15","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-12","20","14","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-13","25","14","D!Oe!NaaOA","OYITE¢Ggo","D!OU3"
"2013-02-14","21","18","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-15","21","14","D!Oe!NaOo","OYITE¢Ggo","D!OU3"
"2013-02-16","24","14","D!Oe!NaaOA","OYITE¢Ggo","D!OU3"
"2013-02-17","27","18","Cc!NaaOA","OYITE¢Ggo","D!OU3"
"2013-02-18","23","19","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-19","20","14","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-20","22","13","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-21","21","16","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-22","20","16","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-23","21","15","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-24","25","17","Cc!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-02-25","27","19","Cc!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-02-26","21","19","ODOe!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-02-27","24","17","D!Oe","OYITE¢Ggo","D!OU3"
"2013-02-28","27","17","Cc!NaD!Oe","OYITE¢Ggo","D!OU3"
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2011-03-01","22","15","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-02","16","13","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-03","16","13","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-04","16","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-05","20","14","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-06","26","13","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-07","16","12","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-08","17","13","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-09","19","14","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-10","18","15","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-11","19","15","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-12","20","16","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-13","23","16","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-14","25","11","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-15","18","11","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-16","14","10","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-17","17","13","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-18","20","16","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-19","22","17","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-20","25","17","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-21","30","17","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-22","19","13","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-23","16","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-24","18","14","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-25","16","13","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-26","16","13","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-27","14","13","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-28","16","12","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-29","19","14","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-30","22","13","aOA~Cc","IT3ODo!PcIo","I¢FF!Pc"
"2011-03-31","22","15","aOA","IT3ODo!PcIo","I¢FF!Pc"
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2012-03-01","19","17","D!Oe~Cc","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-02","24","18","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-03","26","19","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-04","25","19","aOA~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-05","26","19","aOA~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-06","28","19","D!Oe~ODOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-07","26","19","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-08","24","17","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-09","23","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-10","20","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-11","19","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-12","18","16","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-13","18","16","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-14","20","16","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-15","24","19","D!Oe~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-16","26","17","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-17","28","17","OoOe~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-18","28","20","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-19","29","19","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-20","27","18","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-21","24","18","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-22","22","15","aOA~Cc","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-23","27","11","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-24","16","13","OoOe~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-25","17","15","aOA~Cc","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-26","23","14","Cc~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-27","22","16","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-28","24","17","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-29","25","18","aOA~Cc","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-30","27","17","aOA~ODOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-03-31","22","15","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2013-03-01","16","14","D!Oe!NaODOe","OYITE¢Ggo","D!OU3"
"2013-03-02","16","12","D!Oe","OYITE¢Ggo","D!OU3"
"2013-03-03","17","9","Cc","OYITE¢Ggo","D!OU3"
"2013-03-04","20","11","Cc!NaOo","OYITE¢Ggo","D!OU3"
"2013-03-05","22","14","aOA!NaOo","OYITE¢Ggo","D!OU3"
"2013-03-06","23","15","Cc","OYITE¢Ggo","D!OU3"
"2013-03-07","25","12","Cc","OYITE¢Ggo","D!OU3"
"2013-03-08","25","15","Cc","OYITE¢Ggo","D!OU3"
"2013-03-09","26","15","Cc!NaaOA","OYITE¢Ggo","D!OU3"
"2013-03-10","22","16","Oo","OYITE¢Ggo","D!OU3"
"2013-03-11","27","16","aOA","OYITE¢Ggo","D!OU3"
"2013-03-12","29","17","Cc!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-03-13","18","15","Oo!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-03-14","21","14","D!Oe","OYITE¢Ggo","D!OU3"
"2013-03-15","25","16","aOA!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-03-16","26","18","Cc!NaaOA","OYITE¢Ggo","D!OU3"
"2013-03-17","28","18","Cc!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-03-18","26","20","Oo!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-03-19","31","20","aOA!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-03-20","23","17","D!Oe!NaODOe","OYITE¢Ggo","D!OU3"
"2013-03-21","27","19","D!Oe!NaaOA","OYITE¢Ggo","D!OU3"
"2013-03-22","29","20","Cc!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-03-23","30","22","D!Oe","OYITE¢Ggo","D!OU3"
"2013-03-24","20","17","D!Oe!NaOo","OYITE¢Ggo","D!OU3"
"2013-03-25","26","16","Oo!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-03-26","25","19","ODOe!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-03-27","25","17","aOA!Na!|oOe","OYITE¢Ggo","D!OU3"
"2013-03-28","22","20","ODOe!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-03-29","25","18","D!Oe!NaODOe","OYITE¢Ggo","D!OU3"
"2013-03-30","24","19","D!Oe!NaODOe","OYITE¢Ggo","D!OU3"
"2013-03-31","26","19","D!Oe!Na!|oOe","OYITE¢Ggo","D!OU3"
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2011-04-01","25","17","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-02","28","17","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-03","25","15","aOA~OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-04","18","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-05","17","14","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-06","23","17","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-07","27","17","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-08","26","16","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-09","24","18","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-10","27","18","Cc~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-11","25","15","aOA~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-12","22","15","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-13","27","18","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-14","28","19","Oo~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-15","30","20","aOA~OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-16","29","19","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-17","21","16","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-18","21","16","OoOe~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-19","25","16","Cc","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-20","27","17","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-21","29","19","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-22","28","18","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-23","22","18","OoOe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-24","26","17","Cc~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-25","31","20","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-26","29","18","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-27","30","18","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-28","27","19","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-29","29","22","Oo~OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-04-30","29","22","aOA~OoOe","IT3ODo!PcIo","I¢FF!Pc"
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2012-04-02","27","22","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-03","29","20","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-04","26","23","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-05","27","22","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-06","28","21","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-07","29","20","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-08","29","20","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-09","28","21","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-10","29","20","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-11","26","23","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-12","28","21","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-13","26","23","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-14","28","21","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-15","28","21","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-16","27","22","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-17","28","21","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-18","28","21","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-19","29","20","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-20","27","22","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-21","28","21","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-22","27","22","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-23","27","22","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-24","26","23","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-25","27","22","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-26","26","23","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-27","28","21","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-28","28","24","D!Oe","OYITE¢Ggo","D!OU3"
"2012-04-29","29","23","ODOe","OYITE¢Ggo","D!OU3"
"2012-04-30","31","24","D!Oe!NaOo","OYITE¢Ggo","D!OU3"
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2013-04-01","24","20","D!Oe!Na!|oOe","OYITE¢Ggo","D!OU3"
"2013-04-02","22","17","D!Oe!Na!|oOe","OYITE¢Ggo","D!OU3"
"2013-04-03","24","18","D!Oe!Na!OcOe","OYITE¢Ggo","D!OU3"
"2013-04-04","26","21","D!Oe!NaODOe","OYITE¢Ggo","D!OU3"
"2013-04-05","24","22","!|oOe!NaODOe","OYITE¢Ggo","D!OU3"
"2013-04-06","18","12","D!Oe!NaaOA","OYITE¢Ggo","D!OU3"
"2013-04-07","23","14","Cc!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-04-08","24","19","D!Oe!NaODOe","OYITE¢Ggo","D!OU3"
"2013-04-09","20","18","D!Oe","OYITE¢Ggo","D!OU3"
"2013-04-10","21","16","D!Oe","OYITE¢Ggo","D!OU3"
"2013-04-11","19","17","D!Oe","OYITE¢Ggo","D!OU3"
"2013-04-12","22","16","aOA!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-04-13","24","19","D!Oe!NaaOA","OYITE¢Ggo","D!OU3"
