"V1","V2","V3","V4","V5","V6"
NA,NA,NA,NA,NA,NA
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2011-01-01","14","9","aOA~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-02","15","12","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-03","18","13","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-04","19","15","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-05","22","13","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-06","19","13","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-07","18","13","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-08","18","14","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-09","17","13","OoOe~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-10","17","13","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-11","17","15","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-12","18","15","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-13","18","14","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-14","18","13","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-15","17","13","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-16","16","12","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-26","17","15","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-29","14","10","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-30","12","9","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2011-01-31","14","9","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2012-01-01","16","11","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-02","16","13","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-03","16","13","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-04","13","11","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-05","14","10","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-06","17","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-07","19","17","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-08","22","17","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-09","20","16","aOA","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-10","20","14","OoOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-11","20","13","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-12","18","16","Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-13","19","16","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-14","22","17","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-15","24","15","ODOe~!|oOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-16","23","14","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-17","20","15","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-18","18","16","aOA~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-19","22","14","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-20","18","15","D!Oe~Oo","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-21","19","13","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-22","18","11","D!Oe~ODOe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-23","16","11","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-24","14","9","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-25","17","11","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-26","15","13","D!Oe~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-27","17","14","Oo~aOA","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-28","21","13","Oo~D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-29","21","12","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-30","19","12","D!Oe","IT3ODo!PcIo","I¢FF!Pc"
"2012-01-31","19","12","Oo","IT3ODo!PcIo","I¢FF!Pc"
"EOAU","!Ni!MsAoIA","!Ni¢GgIAoIA","IiAo","!PcIo","!PcA|"
"2013-01-01","21","15","D!Oe","OYITE¢Ggo","D!OU3"
"2013-01-02","17","15","ODOe!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-01-03","19","13","D!Oe","OYITE¢Ggo","D!OU3"
"2013-01-04","19","14","D!Oe","OYITE¢Ggo","D!OU3"
"2013-01-05","20","15","D!Oe","OYITE¢Ggo","D!OU3"
"2013-01-06","22","15","D!Oe","OYITE¢Ggo","D!OU3"
"2013-01-07","20","16","D!Oe","OYITE¢Ggo","D!OU3"
"2013-01-08","16","14","ODOe","OYITE¢Ggo","D!OU3"
"2013-01-09","16","13","D!Oe!NaODOe","OYITE¢Ggo","D!OU3"
"2013-01-10","20","13","Oo!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-01-11","20","14","ODOe!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-01-12","20","17","ODOe!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-01-13","15","12","D!Oe","OYITE¢Ggo","D!OU3"
"2013-01-14","19","10","aOA","OYITE¢Ggo","D!OU3"
"2013-01-15","17","9","Cc!NaD!Oe","OYITE¢Ggo","D!OU3"
"2013-01-16","13","11","D!Oe","OYITE¢Ggo","D!OU3"
